id,employer_id,name,jurisdiction,doc_count
105,80-0457213-8,VNT GAS STATION,"KANANGA, LEYTE",3
96,80-0458368-0,3CL PANDESALAN,Matica-a Brgy.,2
22,80-0469242-9,4BROS WATER REFILLING STATION,Carlos Tan St.,2
87,80-0458039-5,AFIO BAYBAY FOOD HUB,"CITY OF BAYBAY, LEYTE",2
104,80-0457207-3,AGUIDA EATERY,"NAVAL, BILIRAN",2
98,80-0457864-0,ALTO PEAK AGRIVENTURES CORP,Don F. Larrazabal Brgy.,2
91,80-0459726-5,ARLYN CONSUMER GOODS STORE,"SAN ISIDRO, LEYTE",2
17,80-0469148-8,BUCATCAT CONVENIENCE STORE,"MAHAPLAG, LEYTE",2
79,80-0460681-3,CLIFFADED BARBER SHOP,Agua Dulce St.,2
12,80-0468453-4,"EDRICH TIRE SUPPLY AND MARKETING, INC","CITY OF BAYBAY, LEYTE",2
7,80-0467468-3,ELLAMAR MINIMART,San Jose Brgy.,2
82,80-0460218-9,ELT GAS TRADING,Dolores Brgy.,2
74,80-0461745-9,EMCORTES LEASING AND AGRIVENTURE CORPORATION,Cogon Brgy.,2
78,80-0460677-4,ENGCOY-ANG OB-GYNE AND ULTRASOUND CLINIC,Aviles St.,2
13,80-0468182-5,ESCALANTE-MAPLE BOARDING HOUSE,"CITY OF BAYBAY, LEYTE",2
84,80-0460237-0,GANDANG ROXANNE'S SALON,"NAVAL, BILIRAN",2
89,80-0459252-9,GRATIA PHARMACEUTICAL PRODUCTS DISTRIBUTION,San Pablo Brgy.,2
77,80-0460662-2,HERSHIE BEAUTY SALON,Bonifacio St.,2
83,80-0460226-0,IBRAHIM TRANSPORT SERVICES,Dolores Brgy.,2
4,80-0468708-1,J & E AUTOMOTIVE CARE SERVICES,Linao Brgy.,2
90,80-0459633-4,JNJ AIRCONDITIONING SERVICES,"MERIDA, LEYTE",2
86,80-0460270-7,JW CELLPHONE REPAIR SHOP,"CITY OF BAYBAY, LEYTE",2
103,80-0457206-0,KAIBIRAN GASOLINE STATION,"CAIBIRAN, BILIRAN",2
8,80-0467483-2,KAYESHAN BAKESHOP,Lilo-an Brgy.,2
85,80-0460247-7,L AND S GENERAL MERCHANDISE,"LEYTE, LEYTE",2
6,80-0467125-9,LABAMOTO LAUNDRY SERVICES,Punta Brgy.,2
20,80-0469267-8,LABAMOTO LAUNDRY SERVICES,Real St.,2
19,80-0469169-5,LABAMOTO LAUNDRY SERVICES,"CITY OF BAYBAY, LEYTE",2
93,80-0458245-8,LEVA DRESSED CHICKEN TRADING,"KANANGA, LEYTE",2
88,80-0459046-6,LIGÑA CAFE,"ALBUERA, LEYTE",2
81,80-0461030-4,M S T DENTAL CLINIC,J. Navarro St.,2
10,80-0467498-4,MELVI RICE MILL,San Vicente Brgy.,2
100,80-0453980-9,MJMILES HARDWARE AND CONSTRUCTION SUPPLIES,"CITY OF BAYBAY, LEYTE",2
97,80-0457964-9,MY LAVS SELF-SERVICE LAUNDRY SHOP,"INOPACAN, LEYTE",2
11,80-0467528-4,MYCASA CONSTRUCTION SERVICES,Libertad Brgy.,2
16,80-0469136-5,PIPOY CONSUMER GOODS TRADING,"CABUCGAYAN, BILIRAN",2
102,80-0457195-1,RAFAEL DOUGLAS LAUNDRY SHOP,"NAVAL, BILIRAN",2
3,80-0467065-8,RM COLORED ROOFING MATERIALS MARKETING,"CITY OF BAYBAY, LEYTE",2
14,80-0468273-0,RM'S BIRTHING CLINIC,"ALBUERA, LEYTE",2
101,80-0457177-3,ROVING AGRIVENTURES INC,"NAVAL, BILIRAN",2
21,80-0469257-1,RPB HARDWARE & CONSTRUCTION SUPPLIES,"KAWAYAN, BILIRAN",2
99,80-0458109-3,RUTCH BUSINESS HUB,"SAN ISIDRO, LEYTE",2
18,80-0469161-1,SERENITEA'S MILKTEA STATION,"CITY OF BAYBAY, LEYTE",2
15,80-0469149-1,SHERLOCK SECURITY AGENCY,Doña Feliza Mejia Brgy.,2
9,80-0467491-3,SILVERCARE PHARMACY,Public Market,2
94,80-0458251-3,THREE U'S OPC,"PALOMPON, LEYTE",2
5,80-0468713-3,TRIPLE J MOTORCYCLE PARTS AND ACCESSORIES SHOP,Linao Brgy.,2
181,80-0446137-5,VELAGA FOOD OPC,Real St.,2
227,80-0439341-4,VELVET & ROSE SALON,"NAVAL, BILIRAN",2
25,80-0469200-5,Y-SEM PROPERTY RENTAL,"KANANGA, LEYTE",2
95,80-0458266-5,YUICHI ASOBI T-SHIRT PRINTING SERVICES,Don F. Larrazabal Brgy.,2
